Date,Type,Category,Amount,Notes
2025-01-06,Expense,Food,1200.0,Lunch
2025-01-08,Expense,Transport,500.0,Gas
2025-01-10,Income,Freelance,4000.0,Website project
2025-02-01,Income,Work,15000.0,February salary
2025-02-03,Income,Food,1800.0,Grocery
2025-02-05,Expense,Transport,600.0,Taxi
2025-02-07,Income,Gift,2000.0,Birthday cash
2025-02-09,Expense,Shopping,2500.0,Clothes
2025-04-07,Income,Gift,1000.0,Gift from relatives
2025-04-09,Expense,Shopping,3000.0,Clothes
2025-05-01,Income,Work,15000.0,May salary
2025-05-04,Expense,Bills,3200.0,Internet
2025-05-06,Expense,Entertainment,900.0,Coffee and snacks
2025-05-08,Income,Freelance,4000.0,App project
2025-05-10,Expense,Food,2000.0,Lunch
2025-06-01,Income,Work,15000.0,June salary
2025-06-03,Expense,Transport,500.0,Gas
2025-06-05,Expense,Food,1500.0,Dinner
2025-06-07,Income,Gift,1500.0,Birthday cash
2025-06-09,Expense,Shopping,2500.0,Shoes
2025-07-01,Income,Work,15000.0,July salary
2025-07-04,Expense,Bills,3500.0,Electricity & water
2025-07-06,Expense,Food,1800.0,Lunch
2025-07-08,Income,Freelance,3000.0,Web project
2025-07-10,Expense,Entertainment,1100.0,Concert tickets
2025-08-01,Income,Work,15000.0,August salary
2025-08-03,Expense,Transport,600.0,Taxi
2025-08-05,Expense,Food,2000.0,Grocery
2025-08-07,Income,Gift,1200.0,Birthday gift
2025-08-09,Expense,Shopping,2800.0,Clothes
2025-09-01,Income,Work,15000.0,September salary
2025-09-03,Expense,Bills,3200.0,Internet
2025-09-05,Expense,Food,1800.0,Dinner
2025-09-07,Income,Freelance,4000.0,App project
2025-09-09,Expense,Entertainment,900.0,Streaming
2025-10-01,Income,Work,15000.0,October salary
2025-10-03,Expense,Transport,500.0,Gas
2025-10-05,Expense,Food,1600.0,Lunch
2025-11-19,Expense,food,12000.0,steak na makunat
